product_id,discounted_price,actual_price,discount_percentage,rating,rating_count,product_name,category,img_link,product_link
B09Z6WH2N1,95,499,0.81,4.2,1949,STRIFF 12 Pieces Highly Flexible Silicone Micro USB Protector| Mouse Cable Protector| Suit for All Cell Phones| Computers and Chargers (White),Electronics|Mobiles&Accessories|MobileAccessories|D??cor,https://m.media-amazon.com/images/I/31SKRsp7Y1L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/STRIFF-Flexible-Silicone-Protector-Computers/dp/B09Z6WH2N1/ref=sr_1_164?qid=1672903002&s=computers&sr=1-164
B01HGCLUH6,1149,1699,0.32,4.2,122478,TP-link N300 WiFi Wireless Router TL-WR845N | 300Mbps Wi-Fi Speed | Three 5dBi high gain Antennas | IPv6 Compatible | AP/RE/WISP Mode | Parental Control | Guest Network,Computers&Accessories|NetworkingDevices|Routers,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/314QZXF1dHL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-TL-WR845N-300Mbps-Wireless-N-Router/dp/B01HGCLUH6/ref=sr_1_165?qid=1672903002&s=computers&sr=1-165
B01N4EV2TL,1495,1995,0.25,4.3,7241,Logitech MK240 Nano Wireless USB Keyboard and Mouse Set| 12 Function Keys 2.4GHz Wireless| 1000DPI| Spill-Resistant Design| PC/Mac| Black/Chartreuse Yellow,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",https://m.media-amazon.com/images/I/41tLaG2nSpL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Logitech-MK240-NANO-Mouse-Keyboard/dp/B01N4EV2TL/ref=sr_1_166?qid=1672903002&s=computers&sr=1-166
B08MZQBFLN,849,4999,0.83,4,20457,Callas Multipurpose Foldable Laptop Table with Cup Holder | Drawer | Mac Holder | Table Holder Study Table| Breakfast Table| Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs (WA-27-Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41YjSD1XPoS._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Callas-Multipurpose-Breakfast-Ergonomic-WA-27-Black/dp/B08MZQBFLN/ref=sr_1_167?qid=1672903002&s=computers&sr=1-167
B0752LL57V,440,440,0,4.5,8610,Casio MJ-12D 150 Steps Check and Correct Desktop Calculator,OfficeProducts|OfficeElectronics|Calculators|Basic,https://m.media-amazon.com/images/I/41cRLg+wdIL._SY300_SX300_.jpg,https://www.amazon.in/Casio-MJ-12D-Desktop-Calculator-Grey/dp/B0752LL57V/ref=sr_1_168?qid=1672903002&s=computers&sr=1-168
B08K4PSZ3V,349,999,0.65,3.8,16557,Tukzer Capacitive Stylus Pen for Touch Screens Devices| Fine Point| Lightweight Metal Body with Magnetism Cover Cap for Smartphones/Tablets/iPad/iPad Pro/iPhone (Grey),Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31bKIZtFGWL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Tukzer-Capacitive-Lightweight-Magnetism-Smartphones/dp/B08K4PSZ3V/ref=sr_1_169?qid=1672903004&s=computers&sr=1-169
B09Z28BQZT,599,3999,0.85,3.9,1087,Amazon Basics Multipurpose Foldable Laptop Table with Cup Holder| Brown,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,https://m.media-amazon.com/images/I/315g5ipEPAL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Amazon-Basics-Multipurpose-Foldable-Laptop/dp/B09Z28BQZT/ref=sr_1_170?qid=1672903004&s=computers&sr=1-170
B094DQWV9B,149,399,0.63,4,1540,Kanget [2 Pack] Type C Female to USB A Male Charger | Charging Cable Adapter Converter compatible for iPhone 14| 13| 12|11 Pro Max/Mini/XR/XS/X/SE| Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad (Grey),Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51JIngdPfEL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Kanget-Female-Adapter-Standard-Interface/dp/B094DQWV9B/ref=sr_1_171?qid=1672903004&s=computers&sr=1-171
B0BBMPH39N,289,999,0.71,4.1,401,Amazon Basics Magic Slate 8.5-inch LCD Writing Tablet with Stylus Pen| for Drawing| Playing| Noting by Kids & Adults| Black,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31GrCGz9drL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Amazon-Basics-8-5-inch-Writing-Drawing/dp/B0BBMPH39N/ref=sr_1_173?qid=1672903004&s=computers&sr=1-173
B097JQ1J5G,179,499,0.64,3.4,9385,Zebronics ZEB-90HB USB Hub| 4 Ports| Pocket Sized| Plug & Play| for Laptop & Computers,Computers&Accessories|Accessories&Peripherals|USBHubs,https://m.media-amazon.com/images/I/31oMWLNvoVS._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Zebronics-ZEB-90HB-Pocket-Laptop-Computers/dp/B097JQ1J5G/ref=sr_1_174?qid=1672903004&s=computers&sr=1-174
B07YY1BY5B,1499,4999,0.7,4,92588,Noise ColorFit Pro 2 Full Touch Control Smart Watch with 35g Weight & Upgraded LCD Display|IP68 Waterproof|Heart Rate Monitor|Sleep & Step Tracker|Call & Message Alerts & Long Battery Life (Jet Black),Electronics|WearableTechnology|SmartWatches,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41UD9vNsIjS._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Noise-Colorfit-Pro-Touch-Control/dp/B07YY1BY5B/ref=sr_1_175?qid=1672903004&s=computers&sr=1-175
B08VRMK55F,399,699,0.43,3.4,3454,Zebronics Zeb Buds C2 in Ear Type C Wired Earphones with Mic| Braided 1.2 Metre Cable| Metallic Design| 10mm Drivers| in Line Mic & Volume Controller (Blue),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/313nBNJrT6L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Zeb-Buds-C2-Controller-Blue/dp/B08VRMK55F/ref=sr_1_176?qid=1672903004&s=computers&sr=1-176
B08CHZ3ZQ7,599,799,0.25,4.3,15790,Redgear A-15 Wired Gaming Mouse with Upto 6400 DPI| RGB & Driver Customization for PC(Black),Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,https://m.media-amazon.com/images/I/31luFfya0kL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Redgear-Gaming-Semi-Honeycomb-Windows-Gamers/dp/B08CHZ3ZQ7/ref=sr_1_177?qid=1672903004&s=computers&sr=1-177
B08SCCG9D4,949,2000,0.53,3.9,14969,JBL Commercial CSLM20B Auxiliary Omnidirectional Lavalier Microphone with Battery for Content Creation| Voiceover/Dubbing| Recording (Black|Small),Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,https://m.media-amazon.com/images/I/41U9-x0JGPL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/JBL-Commercial-Omnidirectional-Microphone-Recording/dp/B08SCCG9D4/ref=sr_1_179?qid=1672903004&s=computers&sr=1-179
B0972BQ2RS,2499,9999,0.75,4.1,42139,Fire-Boltt India's No 1 Smartwatch Brand Ring Bluetooth Calling with SpO2 & 1.7?€? Metal Body with Blood Oxygen Monitoring| Continuous Heart Rate| Full Touch & Multiple Watch Faces,Electronics|WearableTechnology|SmartWatches,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41P+nvE9FYL._SY300_SX300_.jpg,https://www.amazon.in/Fire-Boltt-Smartwatch-Monitoring-Continuous-BSW005/dp/B0972BQ2RS/ref=sr_1_180?qid=1672903004&s=computers&sr=1-180
B00ZRBWPA0,159,180,0.12,4.3,989,Eveready Red 1012 AAA Batteries - Pack of 10,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/517nCRsjYeL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Eveready-Alkaline-Batteries-1012-Battery/dp/B00ZRBWPA0/ref=sr_1_181?qid=1672903004&s=computers&sr=1-181
B0B2DD66GS,1329,2900,0.54,4.5,19624,SanDisk Extreme microSD UHS I Card 128GB for 4K Video on Smartphones|Action Cams 190MB/s Read|90MB/s Write,Electronics|Accessories|MemoryCards|MicroSD,https://m.media-amazon.com/images/I/41O4rjSlneL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/SanDisk-Extreme-microSD-Smartphones-Action/dp/B0B2DD66GS/ref=sr_1_182?qid=1672903004&s=computers&sr=1-182
B09M869Z5V,570,999,0.43,4.2,3201,Portronics MPORT 31C 4-in-1 USB Hub (Type C to 4 USB-A Ports) with Fast Data Transfer,Computers&Accessories|Accessories&Peripherals|USBHubs,https://m.media-amazon.com/images/I/21qdAZyu9xL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Portronics-MPORT-Type-Ports-Transfer/dp/B09M869Z5V/ref=sr_1_183?qid=1672903004&s=computers&sr=1-183
B07W6VWZ8C,899,1999,0.55,4.1,30469,Infinity (JBL Fuze Pint| Wireless Ultra Portable Mini Speaker with Mic| Deep Bass| Dual Equalizer| Bluetooth 5.0 with Voice Assistant Support for Mobiles (Black),Electronics|HomeAudio|Speakers|OutdoorSpeakers,https://m.media-amazon.com/images/I/41Qf-pUQr9L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Infinity-Fuze-Pint-Portable-Wireless/dp/B07W6VWZ8C/ref=sr_1_184?qid=1672903004&s=computers&sr=1-184
B07Z1X6VFC,449,999,0.55,4.4,9940,"AirCase Protective Laptop Bag Sleeve fits Upto 13.3"" Laptop/ MacBook| Wrinkle Free| Padded| Waterproof Light Neoprene case Cover Pouch| for Men & Women| Black- 6 Months Warranty",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,https://m.media-amazon.com/images/I/41GogihEYeL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/AirCase-13-Inch-13-3-Inch-MacBook-Neoprene/dp/B07Z1X6VFC/ref=sr_1_185?qid=1672903004&s=computers&sr=1-185
B07YL54NVJ,549,999,0.45,4.3,7758,Brand Conquer 6 in 1 with OTG| SD Card Reader| USB Type C| USB 3.0 and Micro USB| for Memory Card | Portable Card Reader | Compatible with TF| SD| Micro SD| SDHC| SDXC| MMC| RS-MMC| Micro SDXC,Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,https://m.media-amazon.com/images/I/31R4HANvX2L._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/Brand-Conquer-Reader-Adapter-Portable/dp/B07YL54NVJ/ref=sr_1_186?qid=1672903004&s=computers&sr=1-186
B0759QMF85,1529,2399,0.36,4.3,68409,TP-Link AC750 Dual Band Wireless Cable Router| 4 10/100 LAN + 10/100 WAN Ports| Support Guest Network and Parental Control| 750Mbps Speed Wi-Fi| 3 Antennas (Archer C20) Blue| 2.4 GHz,Computers&Accessories|NetworkingDevices|Routers,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41c7bJo7ooL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/TP-Link-Archer-C20-Wireless-Router/dp/B0759QMF85/ref=sr_1_187?qid=1672903004&s=computers&sr=1-187
B00LM4X0KU,100,100,0,4.3,3095,Parker Quink Ink Bottle| Blue,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/4127NZ2xG6L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Parker-Quink-Ink-Bottle-Blue/dp/B00LM4X0KU/ref=sr_1_188?qid=1672903004&s=computers&sr=1-188
B08PFSZ7FH,299,1499,0.8,4.2,903,STRIFF Laptop Stand Adjustable Laptop Computer Stand Multi-Angle Stand Phone Stand Portable Foldable Laptop Riser Notebook Holder Stand Compatible for 9 to 15.6?€? Laptops Black(Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,https://m.media-amazon.com/images/I/51r+g8fFJsL._SX300_SY300_.jpg,https://www.amazon.in/STRIFF-Adjustable-Computer-Multi-Angle-Compatible/dp/B08PFSZ7FH/ref=sr_1_189?qid=1672903004&s=computers&sr=1-189
B012MQS060,1295,1795,0.28,4.1,25771,Logitech MK215 Wireless Keyboard and Mouse Combo for Windows| 2.4 GHz Wireless| Compact Design| 2-Year Battery Life(Keyboard)|5 Month Battery Life(Mouse) PC/Laptop- Black,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31SAqKSRWyL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Logitech-MK215-Wireless-Keyboard-Mouse/dp/B012MQS060/ref=sr_1_190?qid=1672903004&s=computers&sr=1-190
B01MF8MB65,699,999,0.3,4.1,273189,boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",https://m.media-amazon.com/images/I/3101FmUqUOL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-BassHeads-225-Special-Headphones/dp/B01MF8MB65/ref=sr_1_191?qid=1672903004&s=computers&sr=1-191
B00LHZWD0C,252,315,0.2,4.5,3785,Luxor 5 Subject Single Ruled Notebook - A4| 70 GSM| 300 pages,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/51mCZQzY6SL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Luxor-Subject-Single-Ruled-Notebook/dp/B00LHZWD0C/ref=sr_1_193?qid=1672903005&s=computers&sr=1-193
